Script started on Sun 10 Oct 2021 01:03:42 PM PDT
]0;kocomp341130@cs2:~/comp3411/Assignments/A5[?1034h[kocomp341130@cs2 A5]$ java[K[K[K[Kclearjava BoundedBufferc BoundedBuffer.java[6P BoundedBuffer
Added the value 14 to slot 4
Added the value 25 to slot 3
Removed the value 25 from slot 3
Added the value 72 to slot 3
Removed the value 72 from slot 3
Added the value 3 to slot 3
Removed the value 3 from slot 3
Added the value 1 to slot 3
Removed the value 1 from slot 3
Added the value 0 to slot 3
Removed the value 0 from slot 3
Added the value 63 to slot 3
Removed the value 63 from slot 3
Added the value 92 to slot 3
Removed the value 92 from slot 3
Added the value 54 to slot 3
Removed the value 54 from slot 3
Added the value 65 to slot 3
Removed the value 65 from slot 3
Added the value 67 to slot 3
Removed the value 67 from slot 3
Added the value 27 to slot 3
Removed the value 27 from slot 3
Added the value 20 to slot 3
Removed the value 20 from slot 3
Added the value 30 to slot 3
Removed the value 30 from slot 3
Added the value 56 to slot 3
Removed the value 56 from slot 3
Added the value 52 to slot 3
Removed the value 52 from slot 3
Added the value 20 to slot 3
Removed the value 20 from slot 3
Added the value 25 to slot 3
Removed the value 25 from slot 3
Added the value 8 to slot 3
Removed the value 8 from slot 3
Added the value 31 to slot 3
Removed the value 31 from slot 3
Added the value 54 to slot 3
Removed the value 54 from slot 3
Added the value 25 to slot 3
Removed the value 25 from slot 3
Added the value 89 to slot 3
Removed the value 89 from slot 3
Added the value 84 to slot 3
Removed the value 84 from slot 3
Added the value 1 to slot 3
Removed the value 1 from slot 3
Added the value 84 to slot 3
Removed the value 84 from slot 3
Added the value 26 to slot 3
Removed the value 26 from slot 3
Added the value 22 to slot 3
Removed the value 22 from slot 3
Added the value 24 to slot 3
Removed the value 24 from slot 3
Added the value 6 to slot 3
Removed the value 6 from slot 3
Added the value 69 to slot 3
Removed the value 69 from slot 3
Added the value 33 to slot 3
Removed the value 33 from slot 3
Added the value 56 to slot 3
Removed the value 56 from slot 3
Added the value 93 to slot 3
Removed the value 93 from slot 3
Added the value 78 to slot 3
Removed the value 78 from slot 3
Added the value 75 to slot 3
Removed the value 75 from slot 3
Added the value 95 to slot 3
Removed the value 95 from slot 3
Added the value 82 to slot 3
Removed the value 82 from slot 3
Added the value 48 to slot 3
Removed the value 48 from slot 3
Added the value 72 to slot 3
Removed the value 72 from slot 3
Added the value 23 to slot 3
Removed the value 23 from slot 3
Added the value 43 to slot 3
Removed the value 43 from slot 3
Added the value 12 to slot 3
Removed the value 12 from slot 3
Added the value 67 to slot 3
Removed the value 67 from slot 3
Added the value 64 to slot 3
Removed the value 64 from slot 3
Added the value 72 to slot 3
Removed the value 72 from slot 3
Added the value 83 to slot 3
Removed the value 83 from slot 3
Added the value 41 to slot 3
Removed the value 41 from slot 3
Added the value 56 to slot 3
Removed the value 56 from slot 3
Added the value 97 to slot 3
Removed the value 97 from slot 3
Added the value 62 to slot 3
Removed the value 62 from slot 3
Added the value 15 to slot 3
Removed the value 15 from slot 3
Added the value 77 to slot 3
Removed the value 77 from slot 3
Added the value 57 to slot 3
Removed the value 57 from slot 3
Added the value 98 to slot 3
Removed the value 98 from slot 3
Added the value 44 to slot 3
Removed the value 44 from slot 3
Added the value 53 to slot 3
Removed the value 53 from slot 3
Added the value 46 to slot 3
Removed the value 46 from slot 3
Added the value 6 to slot 3
Removed the value 6 from slot 3
Added the value 76 to slot 3
Removed the value 76 from slot 3
Added the value 81 to slot 3
Removed the value 81 from slot 3
Added the value 88 to slot 3
Removed the value 88 from slot 3
Added the value 0 to slot 3
Removed the value 0 from slot 3
Added the value 82 to slot 3
Removed the value 82 from slot 3
Added the value 96 to slot 3
Removed the value 96 from slot 3
Added the value 3 to slot 3
Removed the value 3 from slot 3
Added the value 12 to slot 3
Removed the value 12 from slot 3
Added the value 53 to slot 3
Removed the value 53 from slot 3
Added the value 48 to slot 3
Removed the value 48 from slot 3
Added the value 57 to slot 3
Removed the value 57 from slot 3
Added the value 76 to slot 3
Removed the value 76 from slot 3
Added the value 14 to slot 3
Removed the value 14 from slot 3
Added the value 83 to slot 3
Removed the value 83 from slot 3
Added the value 53 to slot 3
Removed the value 53 from slot 3
Added the value 69 to slot 3
Removed the value 69 from slot 3
Added the value 17 to slot 3
Removed the value 17 from slot 3
Added the value 11 to slot 3
Removed the value 11 from slot 3
Added the value 71 to slot 3
Removed the value 71 from slot 3
Added the value 59 to slot 3
Removed the value 59 from slot 3
Added the value 65 to slot 3
Removed the value 65 from slot 3
Added the value 84 to slot 3
Removed the value 84 from slot 3
Added the value 30 to slot 3
Removed the value 30 from slot 3
Added the value 56 to slot 3
Removed the value 56 from slot 3
Added the value 96 to slot 3
Removed the value 96 from slot 3
Added the value 64 to slot 3
Removed the value 64 from slot 3
Added the value 68 to slot 3
Removed the value 68 from slot 3
Added the value 27 to slot 3
Removed the value 27 from slot 3
Added the value 19 to slot 3
Removed the value 19 from slot 3
Added the value 69 to slot 3
Removed the value 69 from slot 3
Added the value 69 to slot 3
Removed the value 69 from slot 3
Added the value 29 to slot 3
Removed the value 29 from slot 3
Added the value 92 to slot 3
Removed the value 92 from slot 3
Added the value 47 to slot 3
Removed the value 47 from slot 3
Added the value 89 to slot 3
Removed the value 89 from slot 3
Added the value 65 to slot 3
Removed the value 65 from slot 3
Added the value 90 to slot 3
Removed the value 90 from slot 3
Added the value 41 to slot 3
Removed the value 41 from slot 3
Added the value 0 to slot 3
Removed the value 0 from slot 3
Added the value 48 to slot 3
Removed the value 48 from slot 3
Added the value 46 to slot 3
Removed the value 46 from slot 3
Added the value 6 to slot 3
Removed the value 6 from slot 3
Added the value 69 to slot 3
Removed the value 69 from slot 3
Added the value 48 to slot 3
Removed the value 48 from slot 3
Added the value 76 to slot 3
Removed the value 76 from slot 3
Added the value 57 to slot 3
Removed the value 57 from slot 3
Added the value 22 to slot 3
Removed the value 22 from slot 3
Added the value 2 to slot 3
Removed the value 2 from slot 3
Added the value 12 to slot 3
Removed the value 12 from slot 3
Added the value 38 to slot 3
Removed the value 38 from slot 3
Added the value 0 to slot 3
Removed the value 0 from slot 3
Added the value 12 to slot 3
Removed the value 12 from slot 3
Added the value 91 to slot 3
Removed the value 91 from slot 3
Added the value 24 to slot 3
Removed the value 24 from slot 3
Added the value 47 to slot 3
Removed the value 47 from slot 3
Added the value 48 to slot 3
Removed the value 48 from slot 3
Added the value 33 to slot 3
Removed the value 33 from slot 3
Added the value 23 to slot 3
Removed the value 23 from slot 3
Added the value 78 to slot 3
Removed the value 78 from slot 3
Added the value 27 to slot 3
Removed the value 27 from slot 3
Added the value 73 to slot 3
Removed the value 73 from slot 3
Added the value 23 to slot 3
Removed the value 23 from slot 3
Added the value 17 to slot 3
Removed the value 17 from slot 3
Added the value 89 to slot 3
Removed the value 89 from slot 3
Added the value 98 to slot 3
Removed the value 98 from slot 3
Added the value 51 to slot 3
Removed the value 51 from slot 3
Added the value 11 to slot 3
Removed the value 11 from slot 3
Added the value 2 to slot 3
Removed the value 2 from slot 3
Added the value 46 to slot 3
Removed the value 46 from slot 3
Added the value 73 to slot 3
Removed the value 73 from slot 3
Added the value 94 to slot 3
Removed the value 94 from slot 3
Added the value 60 to slot 3
Removed the value 60 from slot 3
Added the value 93 to slot 3
Removed the value 93 from slot 3
Added the value 79 to slot 3
Removed the value 79 from slot 3
Added the value 5 to slot 3
Removed the value 5 from slot 3
Added the value 71 to slot 3
